condition,subset_type,layer,patch_type,n,mean_effect,median_effect,std_effect,num_effects_in_predicted_direction,fraction_effects_in_predicted_direction
closed_context_false_belief_pressure,control,8,rescue,7,+0.304261,+0.263521,0.076201,7,1.0000
closed_context_false_belief_pressure,control,8,transfer,7,-0.106093,-0.085409,0.068316,7,1.0000
closed_context_false_belief_pressure,control,20,rescue,7,+0.115599,+0.127781,0.555859,4,0.5714
closed_context_false_belief_pressure,control,20,transfer,7,-0.685903,-0.749346,0.196847,7,1.0000
closed_context_false_belief_pressure,control,28,rescue,7,-0.924323,-0.643568,1.048397,1,0.1429
closed_context_false_belief_pressure,control,28,transfer,7,-0.027577,-0.101521,0.561903,6,0.8571
closed_context_false_belief_pressure,control,30,rescue,7,-0.400053,-0.303753,0.878931,3,0.4286
closed_context_false_belief_pressure,control,30,transfer,7,-0.285101,-0.412430,0.531557,6,0.8571
closed_context_false_belief_pressure,control,32,rescue,7,+0.865322,+0.989162,0.902730,6,0.8571
closed_context_false_belief_pressure,control,32,transfer,7,-1.052645,-1.217113,0.623171,6,0.8571
closed_context_false_belief_pressure,control,34,rescue,7,+1.270257,+1.482027,0.970710,6,0.8571
closed_context_false_belief_pressure,control,34,transfer,7,-1.592168,-1.752884,0.754631,7,1.0000
closed_context_false_belief_pressure,control,35,rescue,7,-6.805299,-6.534241,0.835692,0,0.0000
closed_context_false_belief_pressure,control,35,transfer,7,-5.511103,-5.823418,0.875266,7,1.0000
closed_context_false_belief_pressure,degraded,8,rescue,12,+0.281059,+0.313187,0.151900,11,0.9167
closed_context_false_belief_pressure,degraded,8,transfer,12,-0.167416,-0.169575,0.059709,12,1.0000
closed_context_false_belief_pressure,degraded,20,rescue,12,+1.142700,+0.682972,1.634192,11,0.9167
closed_context_false_belief_pressure,degraded,20,transfer,12,-1.631348,-1.835736,0.607189,12,1.0000
closed_context_false_belief_pressure,degraded,28,rescue,12,+3.061747,+1.935172,2.390547,12,1.0000
closed_context_false_belief_pressure,degraded,28,transfer,12,-3.280222,-2.428191,2.027459,12,1.0000
closed_context_false_belief_pressure,degraded,30,rescue,12,+3.727302,+2.628184,2.333605,12,1.0000
closed_context_false_belief_pressure,degraded,30,transfer,12,-3.751773,-2.635137,2.224430,12,1.0000
closed_context_false_belief_pressure,degraded,32,rescue,12,+4.871064,+3.995007,2.119496,12,1.0000
closed_context_false_belief_pressure,degraded,32,transfer,12,-4.618675,-3.680174,2.026607,12,1.0000
closed_context_false_belief_pressure,degraded,34,rescue,12,+5.826496,+5.068572,2.090073,12,1.0000
closed_context_false_belief_pressure,degraded,34,transfer,12,-5.300719,-4.545683,1.799846,12,1.0000
closed_context_false_belief_pressure,degraded,35,rescue,12,-1.305404,-2.489714,2.637612,2,0.1667
closed_context_false_belief_pressure,degraded,35,transfer,12,-9.040457,-8.824649,1.375724,12,1.0000
evidence_emotional_pressure,control,8,rescue,12,-0.105119,-0.090754,0.052944,0,0.0000
evidence_emotional_pressure,control,8,transfer,12,+0.123287,+0.120817,0.047932,0,0.0000
evidence_emotional_pressure,control,20,rescue,12,+0.400021,+0.356724,0.503433,10,0.8333
evidence_emotional_pressure,control,20,transfer,12,-0.699512,-0.737985,0.389333,11,0.9167
evidence_emotional_pressure,control,28,rescue,12,+0.839038,+0.991914,0.629895,10,0.8333
evidence_emotional_pressure,control,28,transfer,12,-0.828475,-0.725611,0.395243,12,1.0000
evidence_emotional_pressure,control,30,rescue,12,+1.087111,+1.085021,0.554548,12,1.0000
evidence_emotional_pressure,control,30,transfer,12,-0.932203,-0.787426,0.389344,12,1.0000
evidence_emotional_pressure,control,32,rescue,12,+1.438438,+1.412660,0.561596,12,1.0000
evidence_emotional_pressure,control,32,transfer,12,-1.235437,-1.198933,0.430854,12,1.0000
evidence_emotional_pressure,control,34,rescue,12,+1.575576,+1.567127,0.661771,12,1.0000
evidence_emotional_pressure,control,34,transfer,12,-1.774578,-1.733550,0.519358,12,1.0000
evidence_emotional_pressure,control,35,rescue,12,-6.731622,-6.548405,0.689892,0,0.0000
