condition,condition_label,subset_type_pooled,patch_type,layer,n,mean,median,std,ci_lo,ci_hi,n_positive_effect,n_negative_effect,fraction_expected_direction,expected_direction,p_ttest_vs_0,p_wilcoxon_expected_sign,p_perm_rand
closed_context_false_belief_pressure,Closed-Context,pooled(degraded+control),rescue,8,19,0.2896072631578947,0.29907,0.1333147905601384,0.22829209868421052,0.3465643039473684,18,1,0.9473684210526315,positive,2.0538604293813964e-08,7.62939453125e-06,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,pooled(degraded+control),transfer,8,19,-0.1448234736842105,-0.15332,0.07152218168463421,-0.17706504078947374,-0.11254044078947374,0,19,1.0,negative,5.8818478145227046e-08,3.814697265625e-06,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,pooled(degraded+control),rescue,20,19,0.7642942105263156,0.617842,1.4695761834557222,0.16087279078947367,1.4388599394736838,15,4,0.7894736842105263,positive,0.03594727941120738,0.015972137451171875,0.010494752623688156
closed_context_false_belief_pressure,Closed-Context,pooled(degraded+control),transfer,20,19,-1.2830259473684211,-1.14077,0.6931093410471615,-1.5867890210526314,-0.9803029144736842,0,19,1.0,negative,2.168771790354405e-07,3.814697265625e-06,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,pooled(degraded+control),rescue,28,19,1.5931946842105262,1.468983,2.853025573862734,0.3204464184210526,2.868063382894736,13,6,0.6842105263157895,positive,0.02556840379463942,0.025821685791015625,0.02048975512243878
closed_context_false_belief_pressure,Closed-Context,pooled(degraded+control),transfer,28,19,-2.081879315789473,-1.916409,2.3370287419873796,-3.1630296065789474,-1.0469153289473683,1,18,0.9473684210526315,negative,0.0010899156959986622,9.5367431640625e-05,0.0009995002498750624
closed_context_false_belief_pressure,Closed-Context,pooled(degraded+control),rescue,30,19,2.2066975263157893,2.081944,2.8486752256488623,0.9575209881578949,3.490015699999999,15,4,0.7894736842105263,positive,0.003361375030755872,0.003917694091796875,0.0009995002498750624
closed_context_false_belief_pressure,Closed-Context,pooled(degraded+control),transfer,30,19,-2.474578052631579,-2.269213,2.5219736134796293,-3.6426884065789467,-1.3812805184210535,1,18,0.9473684210526315,negative,0.00045367360240234787,5.340576171875e-05,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,pooled(degraded+control),rescue,32,19,3.3952639473684214,3.293234,2.6931152358670776,2.221855167105263,4.617738339473683,18,1,0.9473684210526315,positive,3.2191798032485686e-05,3.814697265625e-05,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,pooled(degraded+control),transfer,32,19,-3.304874842105263,-3.209915,2.452035867267222,-4.429366613157896,-2.2587476315789474,1,18,0.9473684210526315,negative,1.4573861393417908e-05,7.62939453125e-06,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,pooled(degraded+control),rescue,34,19,4.1478817368421055,4.170694,2.8943895375308006,2.9071035065789474,5.449866765789472,18,1,0.9473684210526315,positive,6.8277158290419955e-06,1.1444091796875e-05,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,pooled(degraded+control),transfer,34,19,-3.934410631578947,-3.946968,2.399813177580872,-5.012543590789473,-2.8924160802631587,0,19,1.0,negative,1.1758831289331839e-06,3.814697265625e-06,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,pooled(degraded+control),rescue,35,19,-3.331681,-2.867504,3.5127098791206453,-4.833883547368422,-1.7712412565789477,2,17,0.10526315789473684,positive,0.0006228954822085695,0.000644683837890625,0.0029985007496251873
closed_context_false_belief_pressure,Closed-Context,pooled(degraded+control),transfer,35,19,-7.740168315789473,-7.849726,2.1492137053943203,-8.63395619605263,-6.796504602631578,0,19,1.0,negative,6.00692908982189e-12,3.814697265625e-06,0.0004997501249375312
evidence_emotional_pressure,Emotional,pooled(degraded+control),rescue,8,24,-0.10251458333333334,-0.094477,0.04882802059305939,-0.12185023749999999,-0.08346555000000003,0,24,0.0,positive,4.4833188335258654e-10,1.1920928955078125e-07,0.0004997501249375312
evidence_emotional_pressure,Emotional,pooled(degraded+control),transfer,8,24,0.12010054166666667,0.12919049999999999,0.04169776713965594,0.10335417604166666,0.13654430208333332,24,0,0.0,negative,8.177614454099766e-13,1.1920928955078125e-07,0.0004997501249375312
evidence_emotional_pressure,Emotional,pooled(degraded+control),rescue,20,24,0.6910511250000001,0.5863855,0.8793966032993658,0.3363558291666667,1.0456236395833325,21,3,0.875,positive,0.0008164138954380227,0.0004298686981201172,0.0004997501249375312
evidence_emotional_pressure,Emotional,pooled(degraded+control),transfer,20,24,-1.06132175,-0.9426145,0.6275307344774819,-1.3108239197916667,-0.8179915895833336,1,23,0.9583333333333334,negative,2.3379926522173813e-08,2.384185791015625e-07,0.0004997501249375312
evidence_emotional_pressure,Emotional,pooled(degraded+control),rescue,28,24,1.9677204583333332,1.9397155,1.4479638322389126,1.3892742083333334,2.5332322656249993,22,2,0.9166666666666666,positive,8.600891253992056e-07,5.960464477539062e-07,0.0004997501249375312
evidence_emotional_pressure,Emotional,pooled(degraded+control),transfer,28,24,-1.791236125,-1.6543075,1.2702553465591875,-2.3022459343749997,-1.3034853802083337,0,24,1.0,negative,4.826231420903002e-07,1.1920928955078125e-07,0.0004997501249375312
evidence_emotional_pressure,Emotional,pooled(degraded+control),rescue,30,24,2.212333375,1.9859209999999998,1.4387524949892563,1.6459093812499999,2.7900699791666668,24,0,1.0,positive,1.1847403643747218e-07,1.1920928955078125e-07,0.0004997501249375312
evidence_emotional_pressure,Emotional,pooled(degraded+control),transfer,30,24,-1.9221325416666666,-1.710185,1.3388749448517352,-2.4637814093749997,-1.4158835843750002,0,24,1.0,negative,3.6300165884433143e-07,1.1920928955078125e-07,0.0004997501249375312
evidence_emotional_pressure,Emotional,pooled(degraded+control),rescue,32,24,2.5385327500000003,2.3625565,1.4153997550999429,1.9873049718750002,3.104756360416667,24,0,1.0,positive,8.276005036867707e-09,1.1920928955078125e-07,0.0004997501249375312
evidence_emotional_pressure,Emotional,pooled(degraded+control),transfer,32,24,-2.244838458333333,-2.0023964999999997,1.3239882583278115,-2.7723716239583336,-1.7421558937500001,0,24,1.0,negative,2.2378272735309858e-08,1.1920928955078125e-07,0.0004997501249375312
evidence_emotional_pressure,Emotional,pooled(degraded+control),rescue,34,24,2.8452396666666666,2.9319664999999997,1.5710905612748238,2.2311566729166663,3.4527120218749996,24,0,1.0,positive,6.952088302889236e-09,1.1920928955078125e-07,0.0004997501249375312
evidence_emotional_pressure,Emotional,pooled(degraded+control),transfer,34,24,-2.784695166666667,-2.7259824999999998,1.283222088601958,-3.289882416666667,-2.2884426302083343,0,24,1.0,negative,2.379435503455807e-10,1.1920928955078125e-07,0.0004997501249375312
evidence_emotional_pressure,Emotional,pooled(degraded+control),rescue,35,24,-4.888442791666667,-5.150081500000001,2.3409248068448982,-5.789085319791666,-3.9425444322916667,1,23,0.041666666666666664,positive,4.966168815390052e-10,3.5762786865234375e-07,0.0004997501249375312
evidence_emotional_pressure,Emotional,pooled(degraded+control),transfer,35,24,-7.197239166666667,-7.019888,1.1203274381639956,-7.616136362499999,-6.756450876041666,0,24,1.0,negative,2.059922459135101e-20,1.1920928955078125e-07,0.0004997501249375312
evidence_false_belief_pressure,False Belief,pooled(degraded+control),rescue,8,24,0.025030291666666666,0.0149975,0.07604635900810434,-0.0012069072916666675,0.05686683645833327,15,9,0.625,positive,0.12049711997885729,0.12084019184112549,0.09795102448775612
evidence_false_belief_pressure,False Belief,pooled(degraded+control),transfer,8,24,0.09567379166666667,0.091608,0.03931811294952025,0.08055942916666667,0.11078645520833333,24,0,0.0,negative,2.5221074135108e-11,1.1920928955078125e-07,0.0004997501249375312
evidence_false_belief_pressure,False Belief,pooled(degraded+control),rescue,20,24,0.15757675000000002,0.0035685,0.7794962222478249,-0.12844553854166665,0.4664093260416665,12,12,0.5,positive,0.3323136013061938,0.5270590782165527,0.36431784107946025
evidence_false_belief_pressure,False Belief,pooled(degraded+control),transfer,20,24,-0.5854195833333332,-0.5874425,0.4780500485594911,-0.7668907958333333,-0.39004248958333354,2,22,0.9166666666666666,negative,4.063822227099965e-06,1.049041748046875e-05,0.0004997501249375312
evidence_false_belief_pressure,False Belief,pooled(degraded+control),rescue,28,24,0.07027316666666665,-0.1330985,1.321498770439365,-0.42721207812500006,0.6091420947916664,11,13,0.4583333333333333,positive,0.7967867532979129,0.7898378372192383,0.823088455772114
evidence_false_belief_pressure,False Belief,pooled(degraded+control),transfer,28,24,-0.4175241250000001,-0.265042,1.1869171290823062,-0.8877613322916666,0.038411459374999846,9,15,0.625,negative,0.09824970450349779,0.128027081489563,0.10394802598700649
evidence_false_belief_pressure,False Belief,pooled(degraded+control),rescue,30,24,0.34376537500000004,0.135743,1.3125086003264996,-0.15865365937499998,0.8658096229166664,15,9,0.625,positive,0.21223095135298645,0.30289924144744873,0.22638680659670166
evidence_false_belief_pressure,False Belief,pooled(degraded+control),transfer,30,24,-0.5635789999999999,-0.401516,1.2512197898905448,-1.0562024010416666,-0.08894754166666702,9,15,0.625,negative,0.0375963409553989,0.03948163986206055,0.03798100949525238
evidence_false_belief_pressure,False Belief,pooled(degraded+control),rescue,32,24,1.3244710416666667,1.3651715,1.2699055902049494,0.8345790541666666,1.8275448114583333,22,2,0.9166666666666666,positive,3.5568597278526885e-05,8.344650268554688e-06,0.0004997501249375312
evidence_false_belief_pressure,False Belief,pooled(degraded+control),transfer,32,24,-1.3082809166666667,-1.186631,1.2096747467053648,-1.7772286333333334,-0.845423747916667,2,22,0.9166666666666666,negative,2.23237710668644e-05,3.933906555175781e-06,0.0004997501249375312
evidence_false_belief_pressure,False Belief,pooled(degraded+control),rescue,34,24,1.9753672083333333,1.885392,1.33154446415353,1.4620864333333334,2.4940187375,24,0,1.0,positive,2.1376920876207745e-07,1.1920928955078125e-07,0.0004997501249375312
evidence_false_belief_pressure,False Belief,pooled(degraded+control),transfer,34,24,-2.0086798333333333,-1.934921,1.192214747951992,-2.4717877822916665,-1.550247797916667,0,24,1.0,negative,2.498717756570948e-08,1.1920928955078125e-07,0.0004997501249375312
evidence_false_belief_pressure,False Belief,pooled(degraded+control),rescue,35,24,-5.232122208333333,-5.976056,1.6377285798409407,-5.853731239583334,-4.589295928125,0,24,0.0,positive,9.363096150912192e-14,1.1920928955078125e-07,0.0004997501249375312
evidence_false_belief_pressure,False Belief,pooled(degraded+control),transfer,35,24,-6.523517583333334,-6.1613085000000005,1.081589710537343,-6.969875904166666,-6.105484226041668,0,24,1.0,negative,8.501122403820251e-20,1.1920928955078125e-07,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,control,rescue,8,7,0.30426142857142857,0.263521,0.08230639453460294,0.25316141428571426,0.3636111428571428,7,0,1.0,positive,6.572400888576166e-05,0.015625,0.018490754622688656
closed_context_false_belief_pressure,Closed-Context,degraded,rescue,8,12,0.281059,0.313187,0.15865481679247734,0.19476632291666668,0.3641331333333333,11,1,0.9166666666666666,positive,7.344469273917963e-05,0.0009765625,0.0009995002498750624
closed_context_false_belief_pressure,Closed-Context,control,transfer,8,7,-0.106093,-0.085409,0.07379009312231556,-0.15714314285714284,-0.058326182142857216,0,7,1.0,negative,0.00892620674317773,0.015625,0.018490754622688656
closed_context_false_belief_pressure,Closed-Context,degraded,transfer,8,12,-0.16741625000000002,-0.169575,0.062364170812363375,-0.19963392291666668,-0.13299265625,0,12,1.0,negative,1.5201732992913917e-06,0.00048828125,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,control,rescue,20,7,0.11559857142857141,0.127781,0.6003962812592633,-0.30507317857142857,0.5266634678571418,4,3,0.5714285714285714,positive,0.6286555686677178,0.6875,0.6301849075462269
closed_context_false_belief_pressure,Closed-Context,degraded,rescue,20,12,1.1426999999999998,0.6829719999999999,1.706857483824587,0.34537489791666665,2.1448271583333325,11,1,0.9166666666666666,positive,0.040639856766233134,0.01611328125,0.01649175412293853
closed_context_false_belief_pressure,Closed-Context,control,transfer,20,7,-0.6859025714285714,-0.749346,0.21261938643097836,-0.8211662071428572,-0.5344187142857144,0,7,1.0,negative,0.00014181854895608758,0.015625,0.018490754622688656
closed_context_false_belief_pressure,Closed-Context,degraded,transfer,20,12,-1.6313479166666667,-1.835736,0.6341877711987857,-1.9826648312500001,-1.2951363270833338,0,12,1.0,negative,2.3103452932495973e-06,0.00048828125,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,control,rescue,28,7,-0.9243232857142857,-0.643568,1.1323986020619703,-1.793273992857143,-0.240794,1,6,0.14285714285714285,positive,0.07411762579554837,0.03125,0.029985007496251874
closed_context_false_belief_pressure,Closed-Context,degraded,rescue,28,12,3.061746833333333,1.9351720000000001,2.496845409889987,1.8125734416666666,4.512708762499999,12,0,1.0,positive,0.0013706995502510626,0.00048828125,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,control,transfer,28,7,-0.02757714285714284,-0.101521,0.606924742300457,-0.3530301142857143,0.43761271428571424,1,6,0.8571428571428571,negative,0.9082362972352426,0.296875,0.9170414792603698
closed_context_false_belief_pressure,Closed-Context,degraded,transfer,28,12,-3.28022225,-2.428191,2.1176123539836142,-4.520308997916667,-2.2421713770833334,0,12,1.0,negative,0.00022818531057234724,0.00048828125,0.0004997501249375312
closed_context_false_belief_pressure,Closed-Context,control,rescue,30,7,-0.40005314285714283,-0.303753,0.949353884434115,-1.141229289285714,0.09957842857142855,3,4,0.42857142857142855,positive,0.30754495492792555,0.21875,0.3373313343328336
closed_context_false_belief_pressure,Closed-Context,degraded,rescue,30,12,3.727302083333333,2.6281835,2.437371366679778,2.544368564583333,5.143288477083332,12,0,1.0,positive,0.000253416337827374,0.00048828125,0.0004997501249375312
