group_label,condition,anchor,layer,pearson,spearman,n_used,mean_degradation,mean_deltanorm
per_condition,evidence_false_belief_pressure,S0,0,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,0,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,0,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,0,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,0,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,0,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,0,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,0,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,0,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,0,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,1,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,1,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,1,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,1,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,1,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,1,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,1,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,1,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,1,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,1,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,2,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,2,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,2,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,2,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,2,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,2,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,2,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,2,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,2,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,2,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,3,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,3,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,3,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,3,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,3,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,3,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,3,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,3,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,3,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,3,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,4,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,4,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,4,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,4,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,4,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,4,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,4,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,4,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,4,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,4,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,5,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,5,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,5,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,5,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,5,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,5,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,5,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,5,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,5,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,5,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,6,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,6,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,6,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,6,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,6,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,6,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,6,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,6,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,6,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,6,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,7,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,7,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,7,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,7,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,7,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,7,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,7,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,7,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,7,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,7,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,8,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,8,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,8,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,8,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,8,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,8,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,8,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,8,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,8,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,8,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,9,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,9,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,9,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,9,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,9,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,9,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,9,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,9,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,9,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,9,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,10,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,10,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,10,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,10,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,10,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,10,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,10,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,10,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,10,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,10,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,11,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,11,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,11,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,11,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,11,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,11,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,11,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,11,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,11,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,11,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,12,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,12,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,12,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,12,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,12,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,12,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,12,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,12,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,12,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,12,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,13,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,13,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,13,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,13,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,13,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,13,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,13,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,13,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,13,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,13,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,14,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,14,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,14,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,14,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,14,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,14,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,14,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,14,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,14,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,14,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,15,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,15,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,15,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,15,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,15,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,15,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,15,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,15,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,15,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,15,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,16,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,16,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,16,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,16,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,16,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,16,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,16,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,16,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,16,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,16,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,17,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,17,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,17,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,17,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,17,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,17,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,17,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,17,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,17,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,17,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,18,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,18,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,18,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,18,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,18,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,18,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,18,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,18,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,18,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,18,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,19,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,19,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,19,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,19,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,19,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,19,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,19,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,19,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,19,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,19,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,20,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,20,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,20,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,20,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,20,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,20,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,20,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,20,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,20,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,20,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,21,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,21,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,21,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,21,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,21,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,21,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,21,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,21,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,21,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,21,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,22,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,22,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,22,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,22,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,22,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,22,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,22,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,22,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,22,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,22,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,23,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,23,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,23,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,23,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,23,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,23,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,23,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,23,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,23,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,23,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,24,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,24,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,24,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,24,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,24,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,24,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,24,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,24,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,24,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,24,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,25,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,25,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,25,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,25,,,80,9.581363,0.000000
per_condition,evidence_true_belief_pressure,S0,25,,,80,-3.088202,0.000000
per_condition,evidence_true_rationale_pressure,S0,25,,,80,-3.011584,0.000000
per_condition,evidence_distractor_neutral,S0,25,,,80,1.158027,0.000000
pooled_false_pressure,"evidence_false_belief_pressure,evidence_false_rationale_pressure,evidence_emotional_pressure,evidence_authority_pressure",S0,25,,,320,4.919687,0.000000
pooled_evidence_aligned,"evidence_true_belief_pressure,evidence_true_rationale_pressure",S0,25,,,160,-3.049893,0.000000
distractor_only,evidence_distractor_neutral,S0,25,,,80,1.158027,0.000000
per_condition,evidence_false_belief_pressure,S0,26,,,80,0.510714,0.000000
per_condition,evidence_false_rationale_pressure,S0,26,,,80,1.589763,0.000000
per_condition,evidence_emotional_pressure,S0,26,,,80,7.996908,0.000000
per_condition,evidence_authority_pressure,S0,26,,,80,9.581363,0.000000
