pair_name,anchor,layer,mean_cosine,median_cosine,n_families
AU_vs_distr,S0,0,0.00000000,0.00000000,80
AU_vs_distr,S0,1,0.00000000,0.00000000,80
AU_vs_distr,S0,2,0.00000000,0.00000000,80
AU_vs_distr,S0,3,0.00000000,0.00000000,80
AU_vs_distr,S0,4,0.00000000,0.00000000,80
AU_vs_distr,S0,5,0.00000000,0.00000000,80
AU_vs_distr,S0,6,0.00000000,0.00000000,80
AU_vs_distr,S0,7,0.00000000,0.00000000,80
AU_vs_distr,S0,8,0.00000000,0.00000000,80
AU_vs_distr,S0,9,0.00000000,0.00000000,80
AU_vs_distr,S0,10,0.00000000,0.00000000,80
AU_vs_distr,S0,11,0.00000000,0.00000000,80
AU_vs_distr,S0,12,0.00000000,0.00000000,80
AU_vs_distr,S0,13,0.00000000,0.00000000,80
AU_vs_distr,S0,14,0.00000000,0.00000000,80
AU_vs_distr,S0,15,0.00000000,0.00000000,80
AU_vs_distr,S0,16,0.00000000,0.00000000,80
AU_vs_distr,S0,17,0.00000000,0.00000000,80
AU_vs_distr,S0,18,0.00000000,0.00000000,80
AU_vs_distr,S0,19,0.00000000,0.00000000,80
AU_vs_distr,S0,20,0.00000000,0.00000000,80
AU_vs_distr,S0,21,0.00000000,0.00000000,80
AU_vs_distr,S0,22,0.00000000,0.00000000,80
AU_vs_distr,S0,23,0.00000000,0.00000000,80
AU_vs_distr,S0,24,0.00000000,0.00000000,80
AU_vs_distr,S0,25,0.00000000,0.00000000,80
AU_vs_distr,S0,26,0.00000000,0.00000000,80
AU_vs_distr,S0,27,0.00000000,0.00000000,80
AU_vs_distr,S0,28,0.00000000,0.00000000,80
AU_vs_distr,S0,29,0.00000000,0.00000000,80
AU_vs_distr,S0,30,0.00000000,0.00000000,80
AU_vs_distr,S0,31,0.00000000,0.00000000,80
AU_vs_distr,S0,32,0.00000000,0.00000000,80
AU_vs_distr,S0,33,0.00000000,0.00000000,80
AU_vs_distr,S0,34,0.00000000,0.00000000,80
AU_vs_distr,S0,35,0.00000000,0.00000000,80
AU_vs_distr,S1,0,0.00000000,0.00000000,80
AU_vs_distr,S1,1,0.00000000,0.00000000,80
AU_vs_distr,S1,2,0.00000000,0.00000000,80
AU_vs_distr,S1,3,0.00000000,0.00000000,80
AU_vs_distr,S1,4,0.00000000,0.00000000,80
AU_vs_distr,S1,5,0.00000000,0.00000000,80
AU_vs_distr,S1,6,0.00000000,0.00000000,80
AU_vs_distr,S1,7,0.00000000,0.00000000,80
AU_vs_distr,S1,8,0.00000000,0.00000000,80
AU_vs_distr,S1,9,0.00000000,0.00000000,80
AU_vs_distr,S1,10,0.00000000,0.00000000,80
AU_vs_distr,S1,11,0.00000000,0.00000000,80
AU_vs_distr,S1,12,0.00000000,0.00000000,80
AU_vs_distr,S1,13,0.00000000,0.00000000,80
AU_vs_distr,S1,14,0.00000000,0.00000000,80
AU_vs_distr,S1,15,0.00000000,0.00000000,80
AU_vs_distr,S1,16,0.00000000,0.00000000,80
AU_vs_distr,S1,17,0.00000000,0.00000000,80
AU_vs_distr,S1,18,0.00000000,0.00000000,80
AU_vs_distr,S1,19,0.00000000,0.00000000,80
AU_vs_distr,S1,20,0.00000000,0.00000000,80
AU_vs_distr,S1,21,0.00000000,0.00000000,80
AU_vs_distr,S1,22,0.00000000,0.00000000,80
AU_vs_distr,S1,23,0.00000000,0.00000000,80
AU_vs_distr,S1,24,0.00000000,0.00000000,80
AU_vs_distr,S1,25,0.00000000,0.00000000,80
AU_vs_distr,S1,26,0.00000000,0.00000000,80
AU_vs_distr,S1,27,0.00000000,0.00000000,80
AU_vs_distr,S1,28,0.00000000,0.00000000,80
AU_vs_distr,S1,29,0.00000000,0.00000000,80
AU_vs_distr,S1,30,0.00000000,0.00000000,80
AU_vs_distr,S1,31,0.00000000,0.00000000,80
AU_vs_distr,S1,32,0.00000000,0.00000000,80
AU_vs_distr,S1,33,0.00000000,0.00000000,80
AU_vs_distr,S1,34,0.00000000,0.00000000,80
AU_vs_distr,S1,35,0.00000000,0.00000000,80
AU_vs_distr,S2,0,0.00000000,0.00000000,80
AU_vs_distr,S2,1,0.00000000,0.00000000,80
AU_vs_distr,S2,2,0.00000000,0.00000000,80
AU_vs_distr,S2,3,0.00000000,0.00000000,80
AU_vs_distr,S2,4,0.00000000,0.00000000,80
AU_vs_distr,S2,5,0.00000000,0.00000000,80
AU_vs_distr,S2,6,0.00000000,0.00000000,80
AU_vs_distr,S2,7,0.00000000,0.00000000,80
AU_vs_distr,S2,8,0.00000000,0.00000000,80
AU_vs_distr,S2,9,0.00000000,0.00000000,80
AU_vs_distr,S2,10,0.00000000,0.00000000,80
AU_vs_distr,S2,11,0.00000000,0.00000000,80
AU_vs_distr,S2,12,0.00000000,0.00000000,80
AU_vs_distr,S2,13,0.00000000,0.00000000,80
AU_vs_distr,S2,14,0.00000000,0.00000000,80
AU_vs_distr,S2,15,0.00000000,0.00000000,80
AU_vs_distr,S2,16,0.00000000,0.00000000,80
AU_vs_distr,S2,17,0.00000000,0.00000000,80
AU_vs_distr,S2,18,0.00000000,0.00000000,80
AU_vs_distr,S2,19,0.00000000,0.00000000,80
AU_vs_distr,S2,20,0.00000000,0.00000000,80
AU_vs_distr,S2,21,0.00000000,0.00000000,80
AU_vs_distr,S2,22,0.00000000,0.00000000,80
AU_vs_distr,S2,23,0.00000000,0.00000000,80
AU_vs_distr,S2,24,0.00000000,0.00000000,80
AU_vs_distr,S2,25,0.00000000,0.00000000,80
AU_vs_distr,S2,26,0.00000000,0.00000000,80
AU_vs_distr,S2,27,0.00000000,0.00000000,80
AU_vs_distr,S2,28,0.00000000,0.00000000,80
AU_vs_distr,S2,29,0.00000000,0.00000000,80
AU_vs_distr,S2,30,0.00000000,0.00000000,80
AU_vs_distr,S2,31,0.00000000,0.00000000,80
AU_vs_distr,S2,32,0.00000000,0.00000000,80
AU_vs_distr,S2,33,0.00000000,0.00000000,80
AU_vs_distr,S2,34,0.00000000,0.00000000,80
AU_vs_distr,S2,35,0.00000000,0.00000000,80
AU_vs_distr,S3,0,0.38173175,0.38475147,80
AU_vs_distr,S3,1,0.37126687,0.36982867,80
AU_vs_distr,S3,2,0.52549359,0.52699640,80
AU_vs_distr,S3,3,0.53155539,0.53215903,80
AU_vs_distr,S3,4,0.48699361,0.48586871,80
AU_vs_distr,S3,5,0.54891865,0.54854434,80
AU_vs_distr,S3,6,0.57313836,0.57318264,80
AU_vs_distr,S3,7,0.55221370,0.55208320,80
AU_vs_distr,S3,8,0.50238172,0.49992616,80
AU_vs_distr,S3,9,0.47247150,0.46704888,80
AU_vs_distr,S3,10,0.44148839,0.44029523,80
AU_vs_distr,S3,11,0.39848965,0.39811315,80
AU_vs_distr,S3,12,0.35757409,0.35454208,80
AU_vs_distr,S3,13,0.38802139,0.38172898,80
AU_vs_distr,S3,14,0.38642265,0.38394655,80
AU_vs_distr,S3,15,0.45115907,0.44901049,80
AU_vs_distr,S3,16,0.40849030,0.41103054,80
AU_vs_distr,S3,17,0.40964574,0.40598624,80
AU_vs_distr,S3,18,0.37016633,0.36842485,80
AU_vs_distr,S3,19,0.34137410,0.34114061,80
AU_vs_distr,S3,20,0.37543475,0.37780834,80
AU_vs_distr,S3,21,0.46924201,0.47760448,80
AU_vs_distr,S3,22,0.48145206,0.48392899,80
AU_vs_distr,S3,23,0.47445638,0.47360320,80
AU_vs_distr,S3,24,0.48403168,0.47681089,80
AU_vs_distr,S3,25,0.45703124,0.45341383,80
AU_vs_distr,S3,26,0.42719907,0.42560022,80
AU_vs_distr,S3,27,0.42300165,0.43091771,80
AU_vs_distr,S3,28,0.41169658,0.42277805,80
AU_vs_distr,S3,29,0.40322194,0.41278826,80
AU_vs_distr,S3,30,0.40414135,0.42212562,80
AU_vs_distr,S3,31,0.40323671,0.41857506,80
AU_vs_distr,S3,32,0.41704136,0.42853863,80
AU_vs_distr,S3,33,0.40771507,0.41878812,80
AU_vs_distr,S3,34,0.42344869,0.43294396,80
AU_vs_distr,S3,35,0.40150617,0.40192940,80
AU_vs_distr,S4,0,0.38821363,0.26512621,80
AU_vs_distr,S4,1,0.37843766,0.26110261,80
AU_vs_distr,S4,2,0.33648294,0.20834738,80
AU_vs_distr,S4,3,0.28910943,0.20435475,80
AU_vs_distr,S4,4,0.28948532,0.24342864,80
AU_vs_distr,S4,5,0.27002026,0.25309894,80
AU_vs_distr,S4,6,0.31128428,0.31219570,80
AU_vs_distr,S4,7,0.33970953,0.33977724,80
AU_vs_distr,S4,8,0.35134885,0.34517042,80
AU_vs_distr,S4,9,0.31857277,0.32237019,80
AU_vs_distr,S4,10,0.28819212,0.29045811,80
AU_vs_distr,S4,11,0.28666323,0.28942220,80
AU_vs_distr,S4,12,0.22281279,0.22630281,80
AU_vs_distr,S4,13,0.27885940,0.28034640,80
AU_vs_distr,S4,14,0.25921434,0.25943359,80
AU_vs_distr,S4,15,0.23326014,0.23509540,80
AU_vs_distr,S4,16,0.20230965,0.19794101,80
AU_vs_distr,S4,17,0.11479837,0.11469414,80
AU_vs_distr,S4,18,0.16183859,0.16544560,80
AU_vs_distr,S4,19,0.06100276,0.05557881,80
AU_vs_distr,S4,20,0.07979590,0.08266941,80
AU_vs_distr,S4,21,0.10334932,0.11129829,80
AU_vs_distr,S4,22,0.13568437,0.13150543,80
AU_vs_distr,S4,23,0.19793208,0.19564182,80
AU_vs_distr,S4,24,0.25247310,0.24095833,80
AU_vs_distr,S4,25,0.25361463,0.24910724,80
AU_vs_distr,S4,26,0.24073861,0.23657221,80
AU_vs_distr,S4,27,0.24576677,0.24215033,80
AU_vs_distr,S4,28,0.25000819,0.24606418,80
AU_vs_distr,S4,29,0.25719839,0.25219321,80
AU_vs_distr,S4,30,0.26606542,0.25937555,80
AU_vs_distr,S4,31,0.23603265,0.23071029,80
AU_vs_distr,S4,32,0.24171115,0.23615994,80
AU_vs_distr,S4,33,0.25305181,0.25109789,80
AU_vs_distr,S4,34,0.29335202,0.29522264,80
AU_vs_distr,S4,35,0.30211667,0.29600079,80
EM_vs_AU,S0,0,0.00000000,0.00000000,80
EM_vs_AU,S0,1,0.00000000,0.00000000,80
EM_vs_AU,S0,2,0.00000000,0.00000000,80
