condition,anchor,layer,mean_delta_norm,median_delta_norm,n_families
evidence_authority_pressure,S0,0,0.00000000,0.00000000,80
evidence_authority_pressure,S0,1,0.00000000,0.00000000,80
evidence_authority_pressure,S0,2,0.00000000,0.00000000,80
evidence_authority_pressure,S0,3,0.00000000,0.00000000,80
evidence_authority_pressure,S0,4,0.00000000,0.00000000,80
evidence_authority_pressure,S0,5,0.00000000,0.00000000,80
evidence_authority_pressure,S0,6,0.00000000,0.00000000,80
evidence_authority_pressure,S0,7,0.00000000,0.00000000,80
evidence_authority_pressure,S0,8,0.00000000,0.00000000,80
evidence_authority_pressure,S0,9,0.00000000,0.00000000,80
evidence_authority_pressure,S0,10,0.00000000,0.00000000,80
evidence_authority_pressure,S0,11,0.00000000,0.00000000,80
evidence_authority_pressure,S0,12,0.00000000,0.00000000,80
evidence_authority_pressure,S0,13,0.00000000,0.00000000,80
evidence_authority_pressure,S0,14,0.00000000,0.00000000,80
evidence_authority_pressure,S0,15,0.00000000,0.00000000,80
evidence_authority_pressure,S0,16,0.00000000,0.00000000,80
evidence_authority_pressure,S0,17,0.00000000,0.00000000,80
evidence_authority_pressure,S0,18,0.00000000,0.00000000,80
evidence_authority_pressure,S0,19,0.00000000,0.00000000,80
evidence_authority_pressure,S0,20,0.00000000,0.00000000,80
evidence_authority_pressure,S0,21,0.00000000,0.00000000,80
evidence_authority_pressure,S0,22,0.00000000,0.00000000,80
evidence_authority_pressure,S0,23,0.00000000,0.00000000,80
evidence_authority_pressure,S0,24,0.00000000,0.00000000,80
evidence_authority_pressure,S0,25,0.00000000,0.00000000,80
evidence_authority_pressure,S0,26,0.00000000,0.00000000,80
evidence_authority_pressure,S0,27,0.00000000,0.00000000,80
evidence_authority_pressure,S0,28,0.00000000,0.00000000,80
evidence_authority_pressure,S0,29,0.00000000,0.00000000,80
evidence_authority_pressure,S0,30,0.00000000,0.00000000,80
evidence_authority_pressure,S0,31,0.00000000,0.00000000,80
