task_name,permutation_idx,metric,value,true_value,z_vs_true,notes
task1_pooled_harmful_vs_nonharmful,0,balanced_acc,0.490625,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,1,balanced_acc,0.507292,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,2,balanced_acc,0.481250,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,3,balanced_acc,0.457813,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,4,balanced_acc,0.516667,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,5,balanced_acc,0.518750,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,6,balanced_acc,0.527083,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,7,balanced_acc,0.493229,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,8,balanced_acc,0.525521,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,9,balanced_acc,0.451562,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,10,balanced_acc,0.510417,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,11,balanced_acc,0.534375,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,12,balanced_acc,0.496354,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,13,balanced_acc,0.520312,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,14,balanced_acc,0.516146,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,15,balanced_acc,0.515104,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,16,balanced_acc,0.449479,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,17,balanced_acc,0.451563,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,18,balanced_acc,0.466146,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,19,balanced_acc,0.512500,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,20,balanced_acc,0.518750,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,21,balanced_acc,0.546875,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,22,balanced_acc,0.521875,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,23,balanced_acc,0.517708,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,24,balanced_acc,0.517708,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,25,balanced_acc,0.497396,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,26,balanced_acc,0.533854,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,27,balanced_acc,0.504167,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,28,balanced_acc,0.502083,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task1_pooled_harmful_vs_nonharmful,29,balanced_acc,0.469271,0.994271,18.7319,"perm_mean=0.5024, perm_std=0.0263, p_est<=0.0323"
task3_ordinal_false_pressure_strength,0,balanced_acc,0.215625,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,1,balanced_acc,0.215625,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,2,balanced_acc,0.175000,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,3,balanced_acc,0.268750,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,4,balanced_acc,0.218750,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,5,balanced_acc,0.246875,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,6,balanced_acc,0.293750,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,7,balanced_acc,0.315625,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,8,balanced_acc,0.228125,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,9,balanced_acc,0.271875,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,10,balanced_acc,0.218750,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,11,balanced_acc,0.196875,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,12,balanced_acc,0.237500,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,13,balanced_acc,0.281250,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,14,balanced_acc,0.259375,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,15,balanced_acc,0.231250,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,16,balanced_acc,0.293750,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,17,balanced_acc,0.321875,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,18,balanced_acc,0.259375,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,19,balanced_acc,0.228125,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,20,balanced_acc,0.265625,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
task3_ordinal_false_pressure_strength,21,balanced_acc,0.265625,0.996875,20.7474,"perm_mean=0.2492, perm_std=0.0360, p_est<=0.0323"
