task_name,anchor_subset,metric,fold,value,notes
task1_pooled_harmful_vs_nonharmful,S3,balanced_acc,0,0.992188,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,f1_micro,0,0.991071,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,auroc,0,0.999674,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,ap,0,0.999760,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,tn,0,48,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,fp,0,0,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,fn,0,1,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,tp,0,63,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,balanced_acc,1,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,f1_micro,1,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,auroc,1,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,ap,1,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,tn,1,48,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,fp,1,0,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,fn,1,0,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,tp,1,64,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,balanced_acc,2,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,f1_micro,2,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,auroc,2,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,ap,2,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,tn,2,48,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,fp,2,0,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,fn,2,0,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,tp,2,64,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,balanced_acc,3,0.979167,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
