anchor,layer_index,delta_type,n_families,mean_delta_norm,median_delta_norm,min_delta_norm,max_delta_norm,std_delta_norm
end_of_answer_choices,0,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,0,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,0,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,0,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,0,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,0,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,0,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,1,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,1,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,1,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,1,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,1,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,1,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,1,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,2,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,2,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,2,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,2,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,2,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,2,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,2,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,3,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,3,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,3,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
