analysis,pair,anchor,permutation_index,max_balanced_accuracy_over_layers,observed_balanced_accuracy,observed_layer,n_examples,n_families
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,0,0.5672943257929988,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,1,0.5481305627267967,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,2,0.5403585420014081,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,3,0.5731887851817082,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,4,0.5464786698200068,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,5,0.5636294704915961,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,6,0.5550992038417794,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,7,0.5560831181960968,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,8,0.5715820259608961,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,9,0.5698849993681283,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,10,0.5593869040096766,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,11,0.5714014912169847,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,12,0.5639002726074633,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,13,0.5550992038417794,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,14,0.5577350111028867,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,15,0.5576898774169089,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,16,0.5785506670758788,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,17,0.5870809337256955,0.8748803957321587,35,480,80
harmful_vs_nonharmful_perm_control,all_pressure_pooled,end_of_user_message,18,0.5617970428408947,0.8748803957321587,35,480,80
