condition,selection_metric,best_layer,layer_bucket,selected_metric_value,pearson_r,spearman_rho,r2,mse,mae,baseline_mse,relative_mse_improvement,mean_alpha_used
closed_context_delta,pearson_r,35,late,0.913719652571531,0.913719652571531,0.9523809523809523,0.7936002031163305,1.2285799288408255,0.6241576108667586,6.297425870462713,0.8049075996903233,1.0
closed_context_delta,spearman_rho,35,late,0.9523809523809523,0.913719652571531,0.9523809523809523,0.7936002031163305,1.2285799288408255,0.6241576108667586,6.297425870462713,0.8049075996903233,1.0
closed_context_delta,r2,35,late,0.7936002031163305,0.913719652571531,0.9523809523809523,0.7936002031163305,1.2285799288408255,0.6241576108667586,6.297425870462713,0.8049075996903233,1.0
closed_context_delta,relative_mse_improvement,35,late,0.8049075996903233,0.913719652571531,0.9523809523809523,0.7936002031163305,1.2285799288408255,0.6241576108667586,6.297425870462713,0.8049075996903233,1.0
distractor_delta,pearson_r,35,late,0.9209070003434362,0.9209070003434362,0.9173532744834921,0.8305664951013417,0.1091659935198089,0.24903442793422276,0.6816430234291556,0.839848733475441,1.0
distractor_delta,spearman_rho,35,late,0.9173532744834921,0.9209070003434362,0.9173532744834921,0.8305664951013417,0.1091659935198089,0.24903442793422276,0.6816430234291556,0.839848733475441,1.0
distractor_delta,r2,35,late,0.8305664951013417,0.9209070003434362,0.9173532744834921,0.8305664951013417,0.1091659935198089,0.24903442793422276,0.6816430234291556,0.839848733475441,1.0
distractor_delta,relative_mse_improvement,35,late,0.839848733475441,0.9209070003434362,0.9173532744834921,0.8305664951013417,0.1091659935198089,0.24903442793422276,0.6816430234291556,0.839848733475441,1.0
emotional_pressure_delta,pearson_r,35,late,0.8670367197590715,0.8670367197590715,0.9405405405405406,0.7363878456474136,0.6548456970735462,0.49289527866575455,2.628103478848259,0.7508295611858761,1.0
emotional_pressure_delta,spearman_rho,35,late,0.9405405405405406,0.8670367197590715,0.9405405405405406,0.7363878456474136,0.6548456970735462,0.49289527866575455,2.628103478848259,0.7508295611858761,1.0
emotional_pressure_delta,r2,35,late,0.7363878456474136,0.8670367197590715,0.9405405405405406,0.7363878456474136,0.6548456970735462,0.49289527866575455,2.628103478848259,0.7508295611858761,1.0
emotional_pressure_delta,relative_mse_improvement,35,late,0.7508295611858761,0.8670367197590715,0.9405405405405406,0.7363878456474136,0.6548456970735462,0.49289527866575455,2.628103478848259,0.7508295611858761,1.0
false_pressure_delta,pearson_r,35,late,0.9435885471524526,0.9435885471524526,0.9706563706563707,0.8789685261767753,0.3993350580102789,0.44524502298898166,3.4906638670555115,0.8855991085881519,1.0
false_pressure_delta,spearman_rho,35,late,0.9706563706563707,0.9435885471524526,0.9706563706563707,0.8789685261767753,0.3993350580102789,0.44524502298898166,3.4906638670555115,0.8855991085881519,1.0
false_pressure_delta,r2,35,late,0.8789685261767753,0.9435885471524526,0.9706563706563707,0.8789685261767753,0.3993350580102789,0.44524502298898166,3.4906638670555115,0.8855991085881519,1.0
false_pressure_delta,relative_mse_improvement,35,late,0.8855991085881519,0.9435885471524526,0.9706563706563707,0.8789685261767753,0.3993350580102789,0.44524502298898166,3.4906638670555115,0.8855991085881519,1.0
