layer,layer_bucket,n_examples,n_families,balanced_accuracy,auroc,average_precision,f1,precision,recall,confusion_matrix_counts,baseline_balanced_accuracy,C_used
0,early,180,36,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
1,early,180,36,1.0,1.0,1.0,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
2,early,180,36,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
3,early,180,36,1.0,1.0,1.0,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
4,early,180,36,1.0,1.0,1.0,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
5,early,180,36,1.0,1.0,1.0,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
6,early,180,36,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
7,early,180,36,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
8,early,180,36,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
9,early,180,36,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
10,early,180,36,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
11,early,180,36,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
12,middle,180,36,1.0,1.0,1.0,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
13,middle,180,36,1.0,1.0,1.0,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
14,middle,180,36,1.0,1.0,1.0,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
15,middle,180,36,1.0,1.0,1.0,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
16,middle,180,36,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
17,middle,180,36,1.0,1.0,1.0,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
18,middle,180,36,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
19,middle,180,36,1.0,1.0,1.0,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
20,middle,180,36,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
21,middle,180,36,1.0,1.0,1.0,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
22,middle,180,36,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
23,middle,180,36,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
24,late,180,36,1.0,1.0,1.0,1.0,1.0,1.0,"{""tn"": 36, ""fp"": 0, ""fn"": 0, ""tp"": 144}",0.5,1.0
