probe,label_scheme,scope,source_condition,target_condition,real_best_balanced_accuracy,real_best_layer,permute_repeats,permute_mean_best_balanced_accuracy,permute_p95_best_balanced_accuracy,empirical_p_value
4B,primary,within_condition,evidence_false_belief_pressure,evidence_false_belief_pressure,0.875000,35,15,0.713889,0.775000,0.062500
4B,primary,within_condition,evidence_emotional_pressure,evidence_emotional_pressure,0.853846,11,15,0.668718,0.750000,0.062500
4B,primary,within_condition,closed_context_false_belief_pressure,closed_context_false_belief_pressure,0.838710,18,15,0.747527,0.822581,0.062500
5,primary,within_condition,evidence_false_belief_pressure,evidence_false_belief_pressure,0.875000,35,15,0.698611,0.750000,0.062500
5,primary,cross_condition,evidence_false_belief_pressure,evidence_emotional_pressure,0.930769,24,15,0.703846,0.771154,0.062500
5,primary,cross_condition,evidence_false_belief_pressure,closed_context_false_belief_pressure,0.851613,13,15,0.748387,0.816129,0.062500
5,primary,cross_condition,evidence_emotional_pressure,evidence_false_belief_pressure,0.958333,35,15,0.669444,0.714583,0.062500
5,primary,within_condition,evidence_emotional_pressure,evidence_emotional_pressure,0.853846,11,15,0.687179,0.763462,0.062500
5,primary,cross_condition,evidence_emotional_pressure,closed_context_false_belief_pressure,0.819355,1,15,0.742581,0.804839,0.125000
5,primary,cross_condition,closed_context_false_belief_pressure,evidence_false_belief_pressure,0.770833,32,15,0.669444,0.741667,0.125000
5,primary,cross_condition,closed_context_false_belief_pressure,evidence_emotional_pressure,0.803846,32,15,0.694359,0.751154,0.125000
5,primary,within_condition,closed_context_false_belief_pressure,closed_context_false_belief_pressure,0.838710,18,15,0.717849,0.795161,0.062500
4B,strict,within_condition,evidence_false_belief_pressure,evidence_false_belief_pressure,0.895833,21,15,0.783333,0.833333,0.062500
4B,strict,within_condition,evidence_emotional_pressure,evidence_emotional_pressure,1.000000,11,15,0.737037,0.790556,0.062500
4B,strict,within_condition,closed_context_false_belief_pressure,closed_context_false_belief_pressure,0.954545,35,15,0.757576,0.831818,0.062500
5,strict,within_condition,evidence_false_belief_pressure,evidence_false_belief_pressure,0.895833,21,15,0.777778,0.860417,0.062500
5,strict,cross_condition,evidence_false_belief_pressure,evidence_emotional_pressure,0.950000,22,15,0.756296,0.863333,0.062500
5,strict,cross_condition,evidence_false_belief_pressure,closed_context_false_belief_pressure,1.000000,34,15,0.795152,0.877273,0.062500
5,strict,cross_condition,evidence_emotional_pressure,evidence_false_belief_pressure,0.979167,32,15,0.762500,0.839583,0.062500
5,strict,within_condition,evidence_emotional_pressure,evidence_emotional_pressure,1.000000,11,15,0.733333,0.788889,0.062500
5,strict,cross_condition,evidence_emotional_pressure,closed_context_false_belief_pressure,0.954545,21,15,0.783636,0.863636,0.062500
5,strict,cross_condition,closed_context_false_belief_pressure,evidence_false_belief_pressure,0.979167,32,15,0.775000,0.831250,0.062500
5,strict,cross_condition,closed_context_false_belief_pressure,evidence_emotional_pressure,1.000000,35,15,0.749259,0.863333,0.062500
5,strict,within_condition,closed_context_false_belief_pressure,closed_context_false_belief_pressure,0.954545,35,15,0.765455,0.857273,0.062500
