sweep,null_type,label_scheme,source_condition,target_condition,within_or_cross,repeats,real_best_layer,real_best_balanced_accuracy,permute_mean_best_balanced_accuracy,permute_p95_best_balanced_accuracy,empirical_p_value,exceeds_p95
20,max_over_all_36_layers,primary,evidence_false_belief_pressure,evidence_false_belief_pressure,within,100,35,0.812500,0.665625,0.729167,0.009901,1
20,max_over_all_36_layers,primary,evidence_false_belief_pressure,evidence_emotional_pressure,cross,100,32,0.923077,0.674615,0.738462,0.009901,1
20,max_over_all_36_layers,primary,evidence_false_belief_pressure,closed_context_false_belief_pressure,cross,100,20,0.806452,0.725806,0.790323,0.039604,1
20,max_over_all_36_layers,primary,evidence_emotional_pressure,evidence_false_belief_pressure,cross,100,34,0.916667,0.664167,0.729167,0.009901,1
20,max_over_all_36_layers,primary,evidence_emotional_pressure,evidence_emotional_pressure,within,100,14,0.811538,0.656385,0.723462,0.009901,1
20,max_over_all_36_layers,primary,evidence_emotional_pressure,closed_context_false_belief_pressure,cross,100,35,0.838710,0.741742,0.819516,0.039604,1
20,max_over_all_36_layers,primary,closed_context_false_belief_pressure,evidence_false_belief_pressure,cross,100,23,0.729167,0.639375,0.708333,0.029703,1
20,max_over_all_36_layers,primary,closed_context_false_belief_pressure,evidence_emotional_pressure,cross,100,23,0.750000,0.656115,0.723077,0.039604,1
20,max_over_all_36_layers,primary,closed_context_false_belief_pressure,closed_context_false_belief_pressure,within,100,1,0.700000,0.643258,0.767742,0.158416,0
20,max_over_all_36_layers,strict,evidence_false_belief_pressure,evidence_false_belief_pressure,within,100,34,1.000000,0.707500,0.854167,0.009901,1
20,max_over_all_36_layers,strict,evidence_false_belief_pressure,evidence_emotional_pressure,cross,100,33,1.000000,0.675667,0.777778,0.009901,1
20,max_over_all_36_layers,strict,evidence_false_belief_pressure,closed_context_false_belief_pressure,cross,100,18,0.863636,0.721818,0.818182,0.049505,1
20,max_over_all_36_layers,strict,evidence_emotional_pressure,evidence_false_belief_pressure,cross,100,32,1.000000,0.772708,0.854167,0.009901,1
20,max_over_all_36_layers,strict,evidence_emotional_pressure,evidence_emotional_pressure,within,100,11,1.000000,0.704111,0.794722,0.009901,1
20,max_over_all_36_layers,strict,evidence_emotional_pressure,closed_context_false_belief_pressure,cross,100,21,0.909091,0.769000,0.863636,0.039604,1
20,max_over_all_36_layers,strict,closed_context_false_belief_pressure,evidence_false_belief_pressure,cross,100,23,0.875000,0.719792,0.771875,0.009901,1
20,max_over_all_36_layers,strict,closed_context_false_belief_pressure,evidence_emotional_pressure,cross,100,22,0.900000,0.694444,0.751667,0.009901,1
20,max_over_all_36_layers,strict,closed_context_false_belief_pressure,closed_context_false_belief_pressure,within,100,26,1.000000,0.715909,0.809091,0.009901,1
