sweep,null_type,label_scheme,source_condition,target_condition,within_or_cross,repeats,real_best_layer,real_best_balanced_accuracy,permute_mean_best_balanced_accuracy,permute_p95_best_balanced_accuracy,empirical_p_value,exceeds_p95
20,best_layer_fixed,primary,evidence_false_belief_pressure,evidence_false_belief_pressure,within,20,35,0.812500,0.516667,0.669792,0.047619,1
20,best_layer_fixed,primary,evidence_false_belief_pressure,evidence_emotional_pressure,cross,20,32,0.923077,0.516923,0.639039,0.047619,1
20,best_layer_fixed,primary,evidence_false_belief_pressure,closed_context_false_belief_pressure,cross,20,20,0.806452,0.513548,0.692097,0.047619,1
20,best_layer_fixed,primary,evidence_emotional_pressure,evidence_false_belief_pressure,cross,20,34,0.916667,0.520833,0.647916,0.047619,1
20,best_layer_fixed,primary,evidence_emotional_pressure,evidence_emotional_pressure,within,20,14,0.811538,0.478654,0.654423,0.047619,1
20,best_layer_fixed,primary,evidence_emotional_pressure,closed_context_false_belief_pressure,cross,20,35,0.838710,0.497258,0.670968,0.047619,1
20,best_layer_fixed,primary,closed_context_false_belief_pressure,evidence_false_belief_pressure,cross,20,23,0.729167,0.485417,0.562500,0.047619,1
20,best_layer_fixed,primary,closed_context_false_belief_pressure,evidence_emotional_pressure,cross,20,23,0.750000,0.498654,0.563076,0.047619,1
20,best_layer_fixed,primary,closed_context_false_belief_pressure,closed_context_false_belief_pressure,within,20,1,0.700000,0.486774,0.557419,0.047619,1
20,best_layer_fixed,strict,evidence_false_belief_pressure,evidence_false_belief_pressure,within,20,34,1.000000,0.533333,0.709375,0.047619,1
20,best_layer_fixed,strict,evidence_false_belief_pressure,evidence_emotional_pressure,cross,20,33,1.000000,0.531111,0.611389,0.047619,1
20,best_layer_fixed,strict,evidence_false_belief_pressure,closed_context_false_belief_pressure,cross,20,18,0.863636,0.491364,0.640909,0.047619,1
20,best_layer_fixed,strict,evidence_emotional_pressure,evidence_false_belief_pressure,cross,20,32,1.000000,0.493750,0.690625,0.047619,1
20,best_layer_fixed,strict,evidence_emotional_pressure,evidence_emotional_pressure,within,20,11,1.000000,0.477778,0.630834,0.047619,1
20,best_layer_fixed,strict,evidence_emotional_pressure,closed_context_false_belief_pressure,cross,20,21,0.909091,0.464545,0.677272,0.047619,1
20,best_layer_fixed,strict,closed_context_false_belief_pressure,evidence_false_belief_pressure,cross,20,23,0.875000,0.437500,0.605209,0.047619,1
20,best_layer_fixed,strict,closed_context_false_belief_pressure,evidence_emotional_pressure,cross,20,22,0.900000,0.465833,0.552222,0.047619,1
20,best_layer_fixed,strict,closed_context_false_belief_pressure,closed_context_false_belief_pressure,within,20,26,1.000000,0.415454,0.655000,0.047619,1
100,best_layer_fixed,primary,evidence_false_belief_pressure,evidence_false_belief_pressure,within,100,35,0.812500,0.504167,0.605209,0.009901,1
100,best_layer_fixed,primary,evidence_false_belief_pressure,evidence_emotional_pressure,cross,100,32,0.923077,0.484231,0.611538,0.009901,1
100,best_layer_fixed,primary,evidence_false_belief_pressure,closed_context_false_belief_pressure,cross,100,20,0.806452,0.520484,0.710483,0.019802,1
100,best_layer_fixed,primary,evidence_emotional_pressure,evidence_false_belief_pressure,cross,100,34,0.916667,0.492917,0.625000,0.009901,1
100,best_layer_fixed,primary,evidence_emotional_pressure,evidence_emotional_pressure,within,100,14,0.811538,0.487000,0.603846,0.009901,1
100,best_layer_fixed,primary,evidence_emotional_pressure,closed_context_false_belief_pressure,cross,100,35,0.838710,0.523097,0.704194,0.009901,1
100,best_layer_fixed,primary,closed_context_false_belief_pressure,evidence_false_belief_pressure,cross,100,23,0.729167,0.492083,0.562500,0.009901,1
100,best_layer_fixed,primary,closed_context_false_belief_pressure,evidence_emotional_pressure,cross,100,23,0.750000,0.491654,0.550000,0.009901,1
100,best_layer_fixed,primary,closed_context_false_belief_pressure,closed_context_false_belief_pressure,within,100,1,0.700000,0.479581,0.567742,0.009901,1
100,best_layer_fixed,strict,evidence_false_belief_pressure,evidence_false_belief_pressure,within,100,34,1.000000,0.525000,0.625000,0.009901,1
100,best_layer_fixed,strict,evidence_false_belief_pressure,evidence_emotional_pressure,cross,100,33,1.000000,0.512334,0.611389,0.009901,1
100,best_layer_fixed,strict,evidence_false_belief_pressure,closed_context_false_belief_pressure,cross,100,18,0.863636,0.519818,0.681818,0.009901,1
100,best_layer_fixed,strict,evidence_emotional_pressure,evidence_false_belief_pressure,cross,100,32,1.000000,0.482083,0.729167,0.009901,1
100,best_layer_fixed,strict,evidence_emotional_pressure,evidence_emotional_pressure,within,100,11,1.000000,0.469667,0.641389,0.009901,1
100,best_layer_fixed,strict,evidence_emotional_pressure,closed_context_false_belief_pressure,cross,100,21,0.909091,0.502727,0.718182,0.009901,1
100,best_layer_fixed,strict,closed_context_false_belief_pressure,evidence_false_belief_pressure,cross,100,23,0.875000,0.483333,0.626042,0.009901,1
100,best_layer_fixed,strict,closed_context_false_belief_pressure,evidence_emotional_pressure,cross,100,22,0.900000,0.476500,0.644444,0.009901,1
100,best_layer_fixed,strict,closed_context_false_belief_pressure,closed_context_false_belief_pressure,within,100,26,1.000000,0.452454,0.609091,0.009901,1
