label_scheme,source_condition,target_condition,layer,n_examples,n_families,balanced_accuracy,auroc,average_precision,f1,precision,recall,confusion_matrix_counts,baseline_balanced_accuracy,C_used
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,0,36,36,0.604167,0.690972,0.569709,0.454545,0.500000,0.416667,tn=19 fp=5 fn=7 tp=5,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,1,36,36,0.708333,0.666667,0.628600,0.608696,0.636364,0.583333,tn=20 fp=4 fn=5 tp=7,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,2,36,36,0.625000,0.673611,0.659569,0.500000,0.500000,0.500000,tn=18 fp=6 fn=6 tp=6,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,3,36,36,0.562500,0.604167,0.489091,0.416667,0.416667,0.416667,tn=17 fp=7 fn=7 tp=5,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,4,36,36,0.541667,0.520833,0.428278,0.400000,0.384615,0.416667,tn=16 fp=8 fn=7 tp=5,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,5,36,36,0.583333,0.607639,0.453289,0.434783,0.454545,0.416667,tn=18 fp=6 fn=7 tp=5,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,6,36,36,0.500000,0.531250,0.425818,0.285714,0.333333,0.250000,tn=18 fp=6 fn=9 tp=3,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,7,36,36,0.500000,0.440972,0.360939,0.285714,0.333333,0.250000,tn=18 fp=6 fn=9 tp=3,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,8,36,36,0.562500,0.420139,0.469551,0.380952,0.444444,0.333333,tn=19 fp=5 fn=8 tp=4,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,9,36,36,0.541667,0.468750,0.535020,0.363636,0.400000,0.333333,tn=18 fp=6 fn=8 tp=4,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,10,36,36,0.500000,0.517361,0.509983,0.285714,0.333333,0.250000,tn=18 fp=6 fn=9 tp=3,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,11,36,36,0.541667,0.510417,0.491851,0.363636,0.400000,0.333333,tn=18 fp=6 fn=8 tp=4,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,12,36,36,0.583333,0.635417,0.571453,0.400000,0.500000,0.333333,tn=20 fp=4 fn=8 tp=4,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,13,36,36,0.687500,0.652778,0.569472,0.571429,0.666667,0.500000,tn=21 fp=3 fn=6 tp=6,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,14,36,36,0.604167,0.586806,0.553853,0.454545,0.500000,0.416667,tn=19 fp=5 fn=7 tp=5,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,15,36,36,0.583333,0.552083,0.471215,0.434783,0.454545,0.416667,tn=18 fp=6 fn=7 tp=5,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,16,36,36,0.645833,0.586806,0.529416,0.521739,0.545455,0.500000,tn=19 fp=5 fn=6 tp=6,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,17,36,36,0.708333,0.611111,0.627606,0.608696,0.636364,0.583333,tn=20 fp=4 fn=5 tp=7,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,18,36,36,0.666667,0.579861,0.622712,0.545455,0.600000,0.500000,tn=20 fp=4 fn=6 tp=6,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,19,36,36,0.687500,0.670139,0.571761,0.571429,0.666667,0.500000,tn=21 fp=3 fn=6 tp=6,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,20,36,36,0.645833,0.722222,0.621440,0.500000,0.625000,0.416667,tn=21 fp=3 fn=7 tp=5,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,21,36,36,0.604167,0.805556,0.704205,0.454545,0.500000,0.416667,tn=19 fp=5 fn=7 tp=5,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,22,36,36,0.562500,0.767361,0.683196,0.380952,0.444444,0.333333,tn=19 fp=5 fn=8 tp=4,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,23,36,36,0.645833,0.739583,0.684020,0.500000,0.625000,0.416667,tn=21 fp=3 fn=7 tp=5,0.500000,1.0
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,24,36,36,0.666667,0.802083,0.741264,0.545455,0.600000,0.500000,tn=20 fp=4 fn=6 tp=6,0.500000,1.0
