subset_key,subset_label,layer_index,delta_type,n_families,mean_delta_norm,median_delta_norm
all_8_families,all 8 families,0,false_pressure_delta,8,0.1426587589085102,0.1471310630440712
all_8_families,all 8 families,0,emotional_pressure_delta,8,0.17872962169349194,0.17097391933202744
all_8_families,all 8 families,0,true_pressure_delta,8,0.13343309797346592,0.12901738286018372
all_8_families,all 8 families,0,distractor_delta,8,0.31036123260855675,0.3030603528022766
all_8_families,all 8 families,0,closed_context_delta,8,0.25005115382373333,0.2518690824508667
all_8_families,all 8 families,1,false_pressure_delta,8,0.5535349249839783,0.5462506413459778
all_8_families,all 8 families,1,emotional_pressure_delta,8,0.5829150080680847,0.5640667974948883
all_8_families,all 8 families,1,true_pressure_delta,8,0.5287933275103569,0.5248486697673798
all_8_families,all 8 families,1,distractor_delta,8,0.6709177419543266,0.6669861376285553
all_8_families,all 8 families,1,closed_context_delta,8,0.9490637481212616,0.9643774926662445
all_8_families,all 8 families,2,false_pressure_delta,8,1.119471937417984,1.119951069355011
all_8_families,all 8 families,2,emotional_pressure_delta,8,1.1564950197935104,1.1636226773262024
all_8_families,all 8 families,2,true_pressure_delta,8,1.0812889337539673,1.0713644623756409
all_8_families,all 8 families,2,distractor_delta,8,1.0258575975894928,1.0139936804771423
all_8_families,all 8 families,2,closed_context_delta,8,1.8692239969968796,1.9101526737213135
all_8_families,all 8 families,3,false_pressure_delta,8,1.593383178114891,1.6038099527359009
all_8_families,all 8 families,3,emotional_pressure_delta,8,1.702181652188301,1.6918434500694275
all_8_families,all 8 families,3,true_pressure_delta,8,1.596045434474945,1.589840829372406
all_8_families,all 8 families,3,distractor_delta,8,1.421895146369934,1.4050163626670837
all_8_families,all 8 families,3,closed_context_delta,8,2.5782302618026733,2.585086464881897
all_8_families,all 8 families,4,false_pressure_delta,8,1.6464576870203018,1.637451708316803
all_8_families,all 8 families,4,emotional_pressure_delta,8,1.750590294599533,1.739772915840149
all_8_families,all 8 families,4,true_pressure_delta,8,1.6675060391426086,1.6695166230201721
all_8_families,all 8 families,4,distractor_delta,8,1.5509458631277084,1.5309798121452332
all_8_families,all 8 families,4,closed_context_delta,8,2.7277603447437286,2.716251850128174
all_8_families,all 8 families,5,false_pressure_delta,8,2.356358528137207,2.335031270980835
all_8_families,all 8 families,5,emotional_pressure_delta,8,2.413921684026718,2.3968334197998047
all_8_families,all 8 families,5,true_pressure_delta,8,2.374668300151825,2.396221399307251
all_8_families,all 8 families,5,distractor_delta,8,2.2266151010990143,2.218320369720459
all_8_families,all 8 families,5,closed_context_delta,8,3.5638294517993927,3.611994743347168
all_8_families,all 8 families,6,false_pressure_delta,8,3.2382148802280426,3.2630800008773804
