layer_index,layer_bucket,cosine_pair,left_delta_type,right_delta_type,n_families,mean_cosine,median_cosine,std_cosine,min_cosine,max_cosine
0,early,false_pressure_vs_true_pressure,false_pressure_delta,true_pressure_delta,36,0.8565211974912219,0.8749963939189911,0.059802449163260774,0.7252206802368164,0.9497032165527344
0,early,false_pressure_vs_emotional_pressure,false_pressure_delta,emotional_pressure_delta,36,0.7435036583079232,0.7392110228538513,0.061542069190266904,0.551939845085144,0.866274356842041
0,early,false_pressure_vs_closed_context,false_pressure_delta,closed_context_delta,36,0.6567968361907535,0.6766921281814575,0.0810504243467743,0.4782138764858246,0.8009109497070312
0,early,false_pressure_vs_distractor,false_pressure_delta,distractor_delta,36,0.40955444011423325,0.4170331060886383,0.08000174242147227,0.2405354380607605,0.5682801604270935
0,early,emotional_pressure_vs_closed_context,emotional_pressure_delta,closed_context_delta,36,0.48716865397161907,0.4727831035852432,0.07764186677121027,0.3148314952850342,0.6366170644760132
0,early,emotional_pressure_vs_distractor,emotional_pressure_delta,distractor_delta,36,0.3752462478975455,0.38478145003318787,0.07804733112763555,0.23433727025985718,0.5259557962417603
0,early,closed_context_vs_distractor,closed_context_delta,distractor_delta,36,0.24643716857665116,0.23564644157886505,0.10141141671885691,0.08408211916685104,0.48173609375953674
1,early,false_pressure_vs_true_pressure,false_pressure_delta,true_pressure_delta,36,0.9185357540845871,0.9193521738052368,0.024551096014642164,0.8592219948768616,0.960547924041748
1,early,false_pressure_vs_emotional_pressure,false_pressure_delta,emotional_pressure_delta,36,0.821234823928939,0.8259244859218597,0.03466415693333835,0.6950619220733643,0.8761401772499084
1,early,false_pressure_vs_closed_context,false_pressure_delta,closed_context_delta,36,0.6528424835867352,0.6569764316082001,0.04484740603856396,0.532342791557312,0.7726161479949951
1,early,false_pressure_vs_distractor,false_pressure_delta,distractor_delta,36,0.3537936641110314,0.3512144535779953,0.045607272147413815,0.2658109962940216,0.4539085328578949
1,early,emotional_pressure_vs_closed_context,emotional_pressure_delta,closed_context_delta,36,0.5802436611718602,0.5822615623474121,0.04515975297952877,0.4866679608821869,0.6625710725784302
1,early,emotional_pressure_vs_distractor,emotional_pressure_delta,distractor_delta,36,0.3683866461118062,0.35766857862472534,0.05358050244268805,0.23373058438301086,0.4555239975452423
1,early,closed_context_vs_distractor,closed_context_delta,distractor_delta,36,0.0971348248874872,0.10148556530475616,0.08082969377175817,-0.07791849225759506,0.26664260029792786
2,early,false_pressure_vs_true_pressure,false_pressure_delta,true_pressure_delta,36,0.8991937686999639,0.9042018055915833,0.036672141467342954,0.8278161287307739,0.9594093561172485
2,early,false_pressure_vs_emotional_pressure,false_pressure_delta,emotional_pressure_delta,36,0.8094024757544199,0.8094450533390045,0.04533235295626678,0.6608770489692688,0.8799295425415039
2,early,false_pressure_vs_closed_context,false_pressure_delta,closed_context_delta,36,0.5552057632141643,0.5526573657989502,0.056726515715450176,0.42268598079681396,0.7102746963500977
2,early,false_pressure_vs_distractor,false_pressure_delta,distractor_delta,36,0.3250945843756199,0.32768388092517853,0.07935903479734632,0.14561375975608826,0.45683878660202026
2,early,emotional_pressure_vs_closed_context,emotional_pressure_delta,closed_context_delta,36,0.514922633767128,0.5275387167930603,0.053512110805835046,0.3942355513572693,0.6223011016845703
2,early,emotional_pressure_vs_distractor,emotional_pressure_delta,distractor_delta,36,0.3418904079331292,0.33687667548656464,0.07356440843451872,0.18543609976768494,0.48600074648857117
2,early,closed_context_vs_distractor,closed_context_delta,distractor_delta,36,0.25348293801976574,0.2499896138906479,0.07165469250591928,0.07192279398441315,0.38474345207214355
3,early,false_pressure_vs_true_pressure,false_pressure_delta,true_pressure_delta,36,0.9279437131351895,0.9281390607357025,0.024783805811672614,0.8761716485023499,0.9711589813232422
3,early,false_pressure_vs_emotional_pressure,false_pressure_delta,emotional_pressure_delta,36,0.8354421274529563,0.8475774824619293,0.03255310901059725,0.7398537993431091,0.8781355619430542
3,early,false_pressure_vs_closed_context,false_pressure_delta,closed_context_delta,36,0.34121758656369316,0.3519832193851471,0.10076916156445571,0.15395095944404602,0.5044172406196594
3,early,false_pressure_vs_distractor,false_pressure_delta,distractor_delta,36,0.2407126844757133,0.2586117088794708,0.08491558755462016,0.07252173125743866,0.3727838099002838
3,early,emotional_pressure_vs_closed_context,emotional_pressure_delta,closed_context_delta,36,0.25868597481813693,0.25076785683631897,0.09357193660741812,0.0863458588719368,0.4230097532272339
3,early,emotional_pressure_vs_distractor,emotional_pressure_delta,distractor_delta,36,0.2598776084681352,0.26975487172603607,0.1008456832139004,0.07033393532037735,0.4717237949371338
3,early,closed_context_vs_distractor,closed_context_delta,distractor_delta,36,0.26227188224179876,0.2654666602611542,0.08736014037939142,0.038750894367694855,0.422516793012619
