layer_index,delta_type,n_families,mean_delta_norm,median_delta_norm,min_delta_norm,max_delta_norm
0,closed_context_delta,36,0.11721235720647706,0.11529617011547089,0.09026364237070084,0.17045241594314575
0,distractor_delta,36,0.1522085921217998,0.14812149852514267,0.11692056804895401,0.19966880977153778
0,emotional_pressure_delta,36,0.1052478336625629,0.10396368056535721,0.07485547661781311,0.14106519520282745
0,false_pressure_delta,36,0.09053388372477558,0.08672207221388817,0.06094524636864662,0.12752054631710052
0,true_pressure_delta,36,0.08166368419511451,0.07528756558895111,0.05586007982492447,0.12610629200935364
1,closed_context_delta,36,0.31029725405904984,0.30913303792476654,0.24981901049613953,0.3630512058734894
1,distractor_delta,36,0.31359028319517773,0.3141600042581558,0.2470661997795105,0.3685118854045868
1,emotional_pressure_delta,36,0.18883508733577198,0.1844838485121727,0.15452246367931366,0.23404717445373535
1,false_pressure_delta,36,0.1850724145770073,0.18492206186056137,0.15318763256072998,0.2217034250497818
1,true_pressure_delta,36,0.1784186280435986,0.17553462088108063,0.15235744416713715,0.218625009059906
2,closed_context_delta,36,0.614442507425944,0.6145632266998291,0.5374304056167603,0.7093170881271362
2,distractor_delta,36,0.49556222640805775,0.5003271549940109,0.40676864981651306,0.6244757175445557
2,emotional_pressure_delta,36,0.341678482790788,0.3438432663679123,0.292412132024765,0.39068475365638733
2,false_pressure_delta,36,0.3186129348145591,0.32152581214904785,0.2807939946651459,0.364624947309494
2,true_pressure_delta,36,0.3165755611326959,0.3128242641687393,0.27412086725234985,0.3942236006259918
3,closed_context_delta,36,1.0725183188915253,1.0734161734580994,0.8987438678741455,1.3293594121932983
3,distractor_delta,36,0.6261536214086745,0.6233069002628326,0.5214428305625916,0.7667413353919983
3,emotional_pressure_delta,36,0.6004514801833365,0.5828038156032562,0.4960789978504181,0.7284390330314636
3,false_pressure_delta,36,0.5744372564885352,0.5628670156002045,0.4989981949329376,0.704548180103302
3,true_pressure_delta,36,0.5706461684571372,0.5659769177436829,0.497808039188385,0.7775724530220032
4,closed_context_delta,36,1.3218888309266832,1.314357578754425,1.1060434579849243,1.618473768234253
4,distractor_delta,36,0.829340656598409,0.8218590617179871,0.702347457408905,1.0351895093917847
4,emotional_pressure_delta,36,0.8120715369780859,0.8092895448207855,0.7225586175918579,0.9121790528297424
4,false_pressure_delta,36,0.7563488980134329,0.7500935196876526,0.6756213307380676,0.8904297351837158
4,true_pressure_delta,36,0.7797294110059738,0.7695237100124359,0.6705482006072998,1.0729660987854004
5,closed_context_delta,36,1.5465815034177568,1.5270145535469055,1.3135807514190674,1.9216126203536987
5,distractor_delta,36,1.096683046884007,1.0999800562858582,0.9100334644317627,1.3255281448364258
5,emotional_pressure_delta,36,1.124329121576415,1.1322014331817627,0.9939512610435486,1.2656828165054321
5,false_pressure_delta,36,0.9706960684723325,0.962893933057785,0.8583601117134094,1.1209406852722168
5,true_pressure_delta,36,0.9851348747809728,0.9704380333423615,0.844238817691803,1.2891931533813477
6,closed_context_delta,36,1.9820165468586817,1.969229280948639,1.6680601835250854,2.386873960494995
6,distractor_delta,36,1.4214353760083516,1.4227720499038696,1.181911826133728,1.6770731210708618
6,emotional_pressure_delta,36,1.6099569234583113,1.615935742855072,1.4229367971420288,1.8858426809310913
6,false_pressure_delta,36,1.3330440123875935,1.3376737833023071,1.1490201950073242,1.4959254264831543
6,true_pressure_delta,36,1.3415821062193976,1.330405056476593,1.153448462486267,1.6871428489685059
7,closed_context_delta,36,2.511621243423886,2.4786720275878906,2.0890657901763916,2.935509443283081
7,distractor_delta,36,1.8049874073929257,1.8071925044059753,1.543611764907837,2.1650586128234863
7,emotional_pressure_delta,36,2.084174374739329,2.0830867290496826,1.7986851930618286,2.4503655433654785
7,false_pressure_delta,36,1.820854150586658,1.8356406092643738,1.596535086631775,2.081998348236084
7,true_pressure_delta,36,1.8330201539728377,1.806081771850586,1.593357801437378,2.150332450866699
8,closed_context_delta,36,3.5505681766404047,3.5462708473205566,3.0945377349853516,3.9715867042541504
8,distractor_delta,36,2.7846347292264304,2.810631275177002,2.4435417652130127,3.311347246170044
8,emotional_pressure_delta,36,2.6492030024528503,2.6554677486419678,2.3888559341430664,3.0219383239746094
8,false_pressure_delta,36,2.4215484261512756,2.4236687421798706,2.1684789657592773,2.6151199340820312
8,true_pressure_delta,36,2.4764382706748114,2.4748196601867676,2.1934313774108887,2.777933359146118
9,closed_context_delta,36,4.645296878284878,4.585152626037598,4.302769184112549,5.1620893478393555
9,distractor_delta,36,3.6829933325449624,3.6550716161727905,3.1773085594177246,4.3067145347595215
9,emotional_pressure_delta,36,3.7708575593100653,3.767873167991638,3.316464424133301,4.4363250732421875
9,false_pressure_delta,36,3.21875180138482,3.212079882621765,2.8810479640960693,3.7416934967041016
9,true_pressure_delta,36,3.226584129863315,3.236310839653015,2.85432767868042,3.6183009147644043
10,closed_context_delta,36,5.359748482704163,5.310948610305786,4.722588062286377,6.044584274291992
10,distractor_delta,36,4.2771421737141075,4.272350072860718,3.7532451152801514,4.879668712615967
10,emotional_pressure_delta,36,4.117429660426246,4.0672526359558105,3.645969867706299,4.954189300537109
10,false_pressure_delta,36,3.618577665752835,3.5967222452163696,3.301079034805298,4.287745475769043
10,true_pressure_delta,36,3.6801949739456177,3.663573741912842,3.3559978008270264,4.199223518371582
11,closed_context_delta,36,5.288974417580499,5.268686056137085,4.719676971435547,5.883577823638916
11,distractor_delta,36,4.2724706000751915,4.209232807159424,3.7350988388061523,4.975132942199707
11,emotional_pressure_delta,36,4.076060619619158,4.004520058631897,3.6233692169189453,4.969898223876953
11,false_pressure_delta,36,3.6112205187479653,3.567628502845764,3.2245991230010986,4.422954082489014
11,true_pressure_delta,36,3.639722638660007,3.5945684909820557,3.2850513458251953,4.260834217071533
12,closed_context_delta,36,6.717400444878472,6.705611944198608,5.91156530380249,7.404658317565918
12,distractor_delta,36,5.370037198066711,5.356192350387573,4.73990535736084,6.271916389465332
12,emotional_pressure_delta,36,4.467508282926348,4.416906356811523,3.982919931411743,5.3668532371521
12,false_pressure_delta,36,3.9358746806780496,3.911350965499878,3.5179526805877686,4.792089462280273
12,true_pressure_delta,36,4.133241746160719,4.060113191604614,3.7826242446899414,5.091184139251709
13,closed_context_delta,36,7.6039926873313055,7.555105686187744,6.693436145782471,8.360910415649414
13,distractor_delta,36,5.775150524245368,5.7414398193359375,5.153434753417969,6.83758020401001
13,emotional_pressure_delta,36,5.268200596173604,5.2648701667785645,4.891768932342529,6.103470325469971
13,false_pressure_delta,36,4.450217889414893,4.425843715667725,3.866215467453003,5.621417045593262
13,true_pressure_delta,36,4.683862063619825,4.586242437362671,4.233631134033203,5.815693378448486
14,closed_context_delta,36,7.8280238840315075,7.816579818725586,7.004461765289307,8.5995454788208
14,distractor_delta,36,5.726881557040745,5.803415536880493,5.067846298217773,6.660407543182373
14,emotional_pressure_delta,36,6.108644432491726,6.087708473205566,5.689826011657715,6.717111587524414
14,false_pressure_delta,36,4.662892235649957,4.6380321979522705,4.200292587280273,6.100430488586426
14,true_pressure_delta,36,4.861563205718994,4.7989115715026855,4.361851215362549,6.040099620819092
15,closed_context_delta,36,8.67328777578142,8.65539836883545,7.603992462158203,9.845656394958496
15,distractor_delta,36,5.91058529747857,5.984169960021973,5.198276519775391,7.018575191497803
15,emotional_pressure_delta,36,7.238883243666755,7.2135467529296875,6.544281959533691,7.990920066833496
15,false_pressure_delta,36,5.526598519749111,5.47249960899353,4.783296585083008,7.578775882720947
15,true_pressure_delta,36,5.778864608870612,5.710790157318115,5.034426689147949,7.397303581237793
16,closed_context_delta,36,8.6686073674096,8.539137363433838,7.758526802062988,9.858441352844238
16,distractor_delta,36,5.977500902281867,5.973045349121094,5.355518341064453,7.2366132736206055
16,emotional_pressure_delta,36,6.793721252017551,6.773077011108398,6.37888765335083,7.513711929321289
16,false_pressure_delta,36,5.825639433330959,5.749159097671509,5.040704727172852,8.139179229736328
16,true_pressure_delta,36,6.144222272766961,6.026975393295288,5.431857585906982,8.141404151916504
17,closed_context_delta,36,10.007413466771444,9.949023723602295,8.932771682739258,11.116913795471191
17,distractor_delta,36,6.784223132663303,6.724775075912476,6.036918640136719,8.319975852966309
17,emotional_pressure_delta,36,8.255331211619907,8.227274894714355,7.844694137573242,8.822172164916992
17,false_pressure_delta,36,7.619166957007514,7.591300964355469,6.511177062988281,9.652244567871094
17,true_pressure_delta,36,7.880795425838894,7.72294020652771,7.1707377433776855,9.197047233581543
18,closed_context_delta,36,12.168766313129002,12.010211944580078,10.908280372619629,13.857584953308105
18,distractor_delta,36,8.216062625249227,8.08887004852295,7.440319061279297,9.927275657653809
18,emotional_pressure_delta,36,10.884480396906534,10.744051456451416,10.303631782531738,11.96872615814209
18,false_pressure_delta,36,9.377719534767998,9.313453197479248,8.16572093963623,12.27119255065918
