delta_type,behavior_delta_name,sensitivity_threshold,layer_index,layer_bucket,high_sensitivity_n,low_sensitivity_n,high_sensitivity_mean_behavior_delta,low_sensitivity_mean_behavior_delta,high_sensitivity_mean_delta_norm,high_sensitivity_std_delta_norm,low_sensitivity_mean_delta_norm,low_sensitivity_std_delta_norm,mean_delta_norm_gap_high_minus_low,abs_mean_delta_norm_gap,separation_rank_by_abs_gap,is_top3_separation_layer,top3_separating_layers,high_sensitivity_has_any_flip,low_sensitivity_has_any_flip,high_sensitivity_flip_family_ids,low_sensitivity_flip_family_ids
false_pressure_delta,delta_false_pressure,-0.3828125,0,early,18,18,-1.1901041666666667,1.5642361111111112,0.09571408252749178,0.01949225863546811,0.08535368492205937,0.011395156165070424,0.010360397605432406,0.010360397605432406,34,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,1,early,18,18,-1.1901041666666667,1.5642361111111112,0.18875791629155478,0.017041898677134643,0.1813869128624598,0.013828895872131838,0.007371003429094969,0.007371003429094969,35,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,2,early,18,18,-1.1901041666666667,1.5642361111111112,0.3201172898213069,0.023071163836026323,0.3171085798078113,0.024153617354439785,0.0030087100134955636,0.0030087100134955636,36,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,3,early,18,18,-1.1901041666666667,1.5642361111111112,0.5640643785397211,0.05248199675184192,0.5848101344373491,0.04275919856550662,-0.02074575589762795,0.02074575589762795,32,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,4,early,18,18,-1.1901041666666667,1.5642361111111112,0.746039393875334,0.053256406904597695,0.7666584021515317,0.0487523712055058,-0.02061900827619767,0.02061900827619767,33,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,5,early,18,18,-1.1901041666666667,1.5642361111111112,0.957004749112659,0.0667254401874518,0.9843873878320059,0.051672779076913505,-0.027382638719346875,0.027382638719346875,31,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,6,early,18,18,-1.1901041666666667,1.5642361111111112,1.3051415748066373,0.09051744003621115,1.36094644996855,0.07452414139101086,-0.05580487516191268,0.05580487516191268,29,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,7,early,18,18,-1.1901041666666667,1.5642361111111112,1.7792223625712924,0.10653914945136266,1.8624859386020236,0.08808863750031128,-0.0832635760307312,0.0832635760307312,28,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,8,early,18,18,-1.1901041666666667,1.5642361111111112,2.4069064723120794,0.12715982554234173,2.436190379990472,0.09918508924731495,-0.029283907678392396,0.029283907678392396,30,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,9,early,18,18,-1.1901041666666667,1.5642361111111112,3.2674043575922647,0.20355074821515107,3.170099245177375,0.14649198049181678,0.09730511241488982,0.09730511241488982,27,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,10,early,18,18,-1.1901041666666667,1.5642361111111112,3.678825775782267,0.24061219724487623,3.558329555723402,0.1541875284389492,0.12049622005886507,0.12049622005886507,26,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,11,early,18,18,-1.1901041666666667,1.5642361111111112,3.69233775138855,0.2936295543002837,3.5301032861073813,0.16014749539542592,0.16223446528116847,0.16223446528116847,25,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,12,middle,18,18,-1.1901041666666667,1.5642361111111112,4.0274657011032104,0.2912547110007302,3.844283660252889,0.16550749697395817,0.1831820408503213,0.1831820408503213,24,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,13,middle,18,18,-1.1901041666666667,1.5642361111111112,4.578991956180996,0.3731014615939839,4.32144382264879,0.17186114740546934,0.2575481335322056,0.2575481335322056,22,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,14,middle,18,18,-1.1901041666666667,1.5642361111111112,4.784365177154541,0.40796889073421894,4.541419294145372,0.16842655038772064,0.24294588300916864,0.24294588300916864,23,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,15,middle,18,18,-1.1901041666666667,1.5642361111111112,5.69610333442688,0.5997133193470113,5.357093705071343,0.20009290844802516,0.33900962935553647,0.33900962935553647,19,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,16,middle,18,18,-1.1901041666666667,1.5642361111111112,5.968116044998169,0.6902498262078088,5.683162821663751,0.20675920742048812,0.2849532233344183,0.2849532233344183,20,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,17,middle,18,18,-1.1901041666666667,1.5642361111111112,7.757760551240709,0.7805918874194857,7.480573362774319,0.2828968573117813,0.27718718846639057,0.27718718846639057,21,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,18,middle,18,18,-1.1901041666666667,1.5642361111111112,9.604660669962565,1.0159481442338032,9.150778399573433,0.35460060835447627,0.45388227038913165,0.45388227038913165,18,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,19,middle,18,18,-1.1901041666666667,1.5642361111111112,12.250562085045708,1.413486884823898,11.645988835228813,0.8947825072188919,0.6045732498168945,0.6045732498168945,17,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,20,middle,18,18,-1.1901041666666667,1.5642361111111112,15.851584646436903,2.3206207381682464,14.44658417171902,0.9607284252666296,1.4050004747178821,1.4050004747178821,15,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,21,middle,18,18,-1.1901041666666667,1.5642361111111112,18.394137965308296,2.8568532934228617,16.376260810428196,1.4144888944521226,2.0178771548801,2.0178771548801,14,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,22,middle,18,18,-1.1901041666666667,1.5642361111111112,19.243482642703587,3.0535924402379515,16.6463270717197,1.5712027194531182,2.5971555709838867,2.5971555709838867,13,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,23,middle,18,18,-1.1901041666666667,1.5642361111111112,22.718367046780056,3.7327482367324643,19.49191623263889,1.8747281775676534,3.2264508141411667,3.2264508141411667,12,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,24,late,18,18,-1.1901041666666667,1.5642361111111112,26.871008555094402,4.3370887777713625,23.352726300557453,2.2910503685443313,3.518282254536949,3.518282254536949,11,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,25,late,18,18,-1.1901041666666667,1.5642361111111112,26.957949744330513,4.272952056852298,22.958808792961968,1.8575762810476986,3.9991409513685454,3.9991409513685454,9,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,26,late,18,18,-1.1901041666666667,1.5642361111111112,29.280627674526638,4.629168311016626,25.336189375983345,1.7880045585616862,3.944438298543293,3.944438298543293,10,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,27,late,18,18,-1.1901041666666667,1.5642361111111112,31.707290013631184,4.947705057056159,27.222898377312553,1.8658654241017254,4.48439163631863,4.48439163631863,8,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,28,late,18,18,-1.1901041666666667,1.5642361111111112,34.47651322682699,5.421358535337747,29.54795985751682,2.136059994499111,4.928553369310169,4.928553369310169,7,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,29,late,18,18,-1.1901041666666667,1.5642361111111112,36.76518980662028,5.613546704647,31.557340727912056,2.2088388986378105,5.207849078708222,5.207849078708222,6,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,30,late,18,18,-1.1901041666666667,1.5642361111111112,40.88825437757704,6.149191715271527,35.28776868184408,2.478526597067995,5.600485695732964,5.600485695732964,4,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,31,late,18,18,-1.1901041666666667,1.5642361111111112,45.80660311381022,6.2902288975861165,39.379137463039825,2.8319783227826814,6.427465650770394,6.427465650770394,3,True,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,32,late,18,18,-1.1901041666666667,1.5642361111111112,53.62770631578233,6.706128470021395,46.49493281046549,3.026030995108165,7.132773505316841,7.132773505316841,1,True,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,33,late,18,18,-1.1901041666666667,1.5642361111111112,60.76554743448893,6.809340837587527,54.26675287882487,3.458700975164412,6.4987945556640625,6.4987945556640625,2,True,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,34,late,18,18,-1.1901041666666667,1.5642361111111112,75.94458643595378,6.782294672779543,70.53055975172255,3.846545475644352,5.4140266842312315,5.4140266842312315,5,False,"32,33,31",True,False,logic_tournament_036,
false_pressure_delta,delta_false_pressure,-0.3828125,35,late,18,18,-1.1901041666666667,1.5642361111111112,32.959353340996635,2.8488711688460238,34.360585636562774,2.1001640112094577,-1.401232295566139,1.401232295566139,16,False,"32,33,31",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,0,early,18,18,-2.115451388888889,0.16927083333333334,0.10829540424876744,0.018199049638899876,0.10220026307635838,0.017050750192532,0.006095141172409058,0.006095141172409058,34,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,1,early,18,18,-2.115451388888889,0.16927083333333334,0.18989718870984185,0.01750859176861295,0.18777298596170214,0.01978912051142205,0.0021242027481397086,0.0021242027481397086,36,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,2,early,18,18,-2.115451388888889,0.16927083333333334,0.3430514832337697,0.02801684505217142,0.3403054823478063,0.021009816872239677,0.00274600088596344,0.00274600088596344,35,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,3,early,18,18,-2.115451388888889,0.16927083333333334,0.5899257924821641,0.050013324990868295,0.6109771678845087,0.06561244169635617,-0.021051375402344585,0.021051375402344585,33,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,4,early,18,18,-2.115451388888889,0.16927083333333334,0.8002000649770101,0.053340677084725376,0.8239430089791616,0.05509300024766194,-0.02374294400215149,0.02374294400215149,32,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,5,early,18,18,-2.115451388888889,0.16927083333333334,1.1073435611195035,0.07388510901016591,1.1413146820333269,0.06987505696556173,-0.03397112091382337,0.03397112091382337,30,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,6,early,18,18,-2.115451388888889,0.16927083333333334,1.5932119223806593,0.10360724276070193,1.6267019245359633,0.10236433358583974,-0.033490002155303955,0.033490002155303955,31,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,7,early,18,18,-2.115451388888889,0.16927083333333334,2.0550061729219227,0.11569060240839214,2.1133425765567355,0.12399120447480634,-0.05833640363481285,0.05833640363481285,29,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,8,early,18,18,-2.115451388888889,0.16927083333333334,2.619122200542026,0.11697224678860213,2.6792838043636746,0.12819876354284093,-0.06016160382164859,0.06016160382164859,28,False,"33,34,32",True,False,logic_tournament_036,
